City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Methoni,GR,65.21,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
424,Camana,PE,63.64,broken clouds,-16.6228,-72.7111,Hostal Morales
429,Jadu,LY,63.75,clear sky,31.953,12.0261,امياس للصرافة
432,Florence,IT,69.53,clear sky,43.7667,11.25,Italiana Hotels Florence
435,Le Mans,FR,64.62,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
436,Mina,MX,78.06,scattered clouds,26.0011,-100.5299,Mina ctl
438,El Alto,PE,71.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
439,Brasilia De Minas,BR,87.78,overcast clouds,-16.2064,-44.4333,Hotel Neris
440,Clayton,US,76.55,scattered clouds,33.5335,-84.3666,Royal Inn
442,Vao,NC,69.71,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
445,Westport,US,75.27,clear sky,41.1415,-73.3579,The Westport Inn
447,Abong Mbang,CM,73.94,moderate rain,3.9833,13.1833,Auberge Angle Sur
448,Sumter,US,84.25,few clouds,28.7086,-82.0831,Paradise Oaks RV Resort
452,Ambanja,MG,84.13,light rain,-13.6833,48.45,Hotel Salama and Fast Food
454,Ilo,PE,63.46,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
458,Ixtapa,MX,77.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
459,Palmer,US,72.25,broken clouds,42.1584,-72.3287,Wedgewood Motel
460,Takoradi,GH,82.81,light rain,4.8845,-1.7554,Raybow International Hotel
462,Rosetta,EG,89.42,clear sky,31.4044,30.4164,Green Valley
463,San Quintin,MX,67.66,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
465,Bojnurd,IR,66.15,clear sky,37.4747,57.329,Homag Commercial & Social Complex
468,Faranah,GN,87.12,broken clouds,10.0404,-10.7434,Chez mon oncle
469,Ambatofinandrahana,MG,68.9,clear sky,-20.55,46.8,TATAMO
