City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
47,Peniche,PT,39.3558,-9.3811,82.62,66,47,9.57,scattered clouds
48,Leh,IN,34.1667,77.5833,48.97,17,0,3.53,clear sky
49,Inhambane,MZ,-23.865,35.3833,79.77,72,57,15.12,broken clouds
50,Mataura,NZ,-46.1927,168.8643,37.49,97,62,2.48,broken clouds
51,Songjianghe,CN,42.1859,127.479,32.81,53,99,6.98,overcast clouds
52,Laguna,US,38.421,-121.4238,61.34,72,1,0.0,clear sky
53,Pevek,RU,69.7008,170.3133,15.73,94,97,3.02,overcast clouds
54,Tigzirt,DZ,36.8886,4.1198,70.47,52,60,7.07,broken clouds
55,Bluff,NZ,-46.6,168.3333,43.75,84,94,11.63,overcast clouds
56,Pontes E Lacerda,BR,-15.2261,-59.3353,101.26,28,25,11.21,scattered clouds
57,Hay River,CA,60.8156,-115.7999,31.98,80,75,6.91,broken clouds
58,Kalmunai,LK,7.4167,81.8167,84.43,71,79,2.64,broken clouds
59,Krasnoselkup,RU,65.7,82.4667,35.33,91,100,8.1,overcast clouds
60,Aloja,LV,57.7669,24.8825,50.72,87,100,18.1,light rain
61,Pisco,PE,-13.7,-76.2167,64.45,77,20,6.91,few clouds
62,Tashtagol,RU,52.7657,87.8894,31.8,78,1,4.09,clear sky
63,Hobart,AU,-42.8794,147.3294,52.27,93,90,8.99,overcast clouds
64,Tezu,IN,27.9167,96.1667,77.54,79,63,4.72,broken clouds
65,Ulladulla,AU,-35.35,150.4667,56.88,65,70,12.66,broken clouds
66,Bethel,US,41.3712,-73.414,74.01,81,1,0.0,clear sky
67,Vaini,TO,-21.2,-175.2,71.76,100,90,2.3,moderate rain
68,Butaritari,KI,3.0707,172.7902,81.46,74,56,11.97,broken clouds
69,Slave Lake,CA,55.2834,-114.769,22.98,93,1,2.3,clear sky
70,Parangan,PH,5.0839,119.9383,83.5,74,92,4.07,overcast clouds
71,Port Alfred,ZA,-33.5906,26.891,68.45,72,95,5.21,overcast clouds
72,Portland,US,45.5234,-122.6762,51.91,94,20,1.01,few clouds
73,Victoria,HK,22.2855,114.1577,81.32,87,100,4.0,overcast clouds
74,Lavrentiya,RU,65.5833,-171.0,23.2,80,73,10.54,broken clouds
75,Touros,BR,-5.1989,-35.4608,86.9,60,28,19.33,scattered clouds
76,Liku,ID,-0.7275,119.8922,77.86,91,70,1.36,broken clouds
77,Severo-Kurilsk,RU,50.6789,156.125,44.2,88,54,15.99,broken clouds
78,Bengkulu,ID,-3.8004,102.2655,77.07,85,72,3.06,moderate rain
79,Kodiak,US,57.79,-152.4072,31.51,86,20,3.44,few clouds
80,Kralendijk,BQ,12.15,-68.2667,91.38,62,100,10.36,overcast clouds
81,Shahrud,IR,36.4182,54.9763,61.32,52,2,8.1,clear sky
82,Itea,GR,38.4333,22.4167,66.0,80,100,3.96,overcast clouds
83,Leningradskiy,RU,69.3833,178.4167,17.69,95,100,6.93,light snow
84,Sambava,MG,-14.2667,50.1667,74.59,78,23,15.5,light rain
85,Albacete,ES,38.8333,-2.0,74.21,33,0,8.05,clear sky
86,Nago,JP,26.5881,127.9761,80.76,80,8,5.77,clear sky
87,Seoni Malwa,IN,22.45,77.4667,72.97,55,9,2.51,clear sky
88,Opuwo,NA,-18.0607,13.84,92.68,10,2,19.62,clear sky
89,Isla Mujeres,MX,21.2311,-86.731,84.16,78,3,6.62,clear sky
90,Santiago,CL,-33.4569,-70.6483,54.84,50,0,0.0,clear sky
91,Narsaq,GL,60.9167,-46.05,34.02,39,100,1.3,overcast clouds
92,Barrow,US,71.2906,-156.7887,24.82,80,90,16.11,light snow
93,Prainha,BR,-1.8,-53.48,94.32,40,67,6.31,broken clouds
94,New Norfolk,AU,-42.7826,147.0587,51.93,78,100,3.0,overcast clouds
95,Karoi,ZW,-16.8099,29.6925,87.6,19,68,4.52,broken clouds
96,Cuamba,MZ,-14.8031,36.5372,91.13,26,54,6.02,broken clouds
97,Fort Nelson,CA,58.8053,-122.7002,26.19,86,75,2.3,broken clouds
98,Catole Do Rocha,BR,-6.3439,-37.7467,95.81,27,22,13.71,few clouds
99,Wanlaweyn,SO,2.6185,44.8938,83.97,55,49,19.44,scattered clouds
100,Hermanus,ZA,-34.4187,19.2345,62.91,63,99,22.7,overcast clouds
101,Chokurdakh,RU,70.6333,147.9167,-2.87,100,99,0.92,overcast clouds
102,Belmonte,BR,-15.8631,-38.8828,81.1,71,86,9.64,overcast clouds
103,Yar-Sale,RU,66.8333,70.8333,39.61,97,100,6.96,overcast clouds
104,Mount Gambier,AU,-37.8333,140.7667,51.71,82,90,14.97,overcast clouds
105,Luderitz,NA,-26.6481,15.1594,62.87,64,51,28.1,broken clouds
106,Careiro Da Varzea,BR,-3.2003,-59.8119,92.03,33,90,6.15,overcast clouds
107,Bila Tserkva,UA,49.8094,30.1121,50.31,44,8,7.54,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,11.5,scattered clouds
109,Shorapur,IN,16.5167,76.75,75.74,63,100,7.99,overcast clouds
110,Itoman,JP,26.1247,127.6694,80.62,74,20,4.61,few clouds
111,Dingle,PH,10.9995,122.6711,76.77,91,100,0.98,overcast clouds
112,Serenje,ZM,-13.2325,30.2352,80.47,30,95,8.48,overcast clouds
113,Balabac,PH,7.9868,117.0645,81.34,76,100,10.89,heavy intensity rain
114,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,62,20,13.8,few clouds
115,Tabou,CI,4.423,-7.3528,82.45,76,14,7.67,light rain
116,Lompoc,US,34.6391,-120.4579,64.42,65,1,5.75,clear sky
117,Vila Do Maio,CV,15.1333,-23.2167,86.79,75,62,14.27,broken clouds
118,Buta,CD,2.7858,24.73,75.9,92,99,2.89,light rain
119,Esperance,AU,-33.8667,121.9,53.44,79,34,19.24,scattered clouds
120,Faanui,PF,-16.4833,-151.75,79.99,75,6,16.67,clear sky
121,San Antonio,US,29.4241,-98.4936,79.25,92,90,0.0,mist
122,Bunia,CD,1.5667,30.25,73.99,71,99,4.63,overcast clouds
123,Huarmey,PE,-10.0681,-78.1522,67.91,78,59,9.51,broken clouds
124,East Wenatchee Bench,US,47.4257,-120.2812,48.96,75,90,4.61,overcast clouds
125,Potenza,IT,40.6443,15.8086,40.64,76,99,9.22,overcast clouds
126,Terrace,CA,54.5163,-128.6035,39.42,100,90,3.44,light intensity drizzle
127,Ansalta,RU,42.6894,46.1178,57.97,73,17,3.2,few clouds
128,East London,ZA,-33.0153,27.9116,68.94,73,0,12.66,clear sky
129,Hasaki,JP,35.7333,140.8333,64.8,70,89,6.02,overcast clouds
130,Jamestown,US,42.097,-79.2353,71.1,95,90,4.0,overcast clouds
131,Aklavik,CA,68.2191,-135.0107,24.8,93,90,2.3,overcast clouds
132,Dunedin,NZ,-45.8742,170.5036,50.81,81,100,2.77,overcast clouds
133,Shitanjing,CN,39.2342,106.3439,44.6,27,20,5.28,few clouds
134,Nanortalik,GL,60.1432,-45.2371,41.11,65,100,4.9,overcast clouds
135,Fairbanks,US,64.8378,-147.7164,27.23,81,90,0.0,overcast clouds
136,La Ronge,CA,55.1001,-105.2842,32.22,93,20,4.61,few clouds
